Month,Day of the month,Hour of the day,Day of the week,Outdoor air dry bulb temperature,Outdoor air dew point temperature,Electrical load 1 hour ago,Electrical load 2 hour ago,Electrical load 3 hour ago,Electrical load 4 hour ago,Electrical load 5 hour ago,Electrical load 6 hour ago,Electrical load 7 hour ago,Electrical load 8 hour ago,Electrical load 9 hour ago,Electrical load 10 hour ago,Electrical load 11 hour ago,Electrical load 12 hour ago,Electrical load 13 hour ago,Electrical load 14 hour ago,Electrical load 15 hour ago,Electrical load 16 hour ago,Electrical load 17 hour ago,Electrical load 18 hour ago,Electrical load 19 hour ago,Electrical load 20 hour ago,Electrical load 21 hour ago,Electrical load 22 hour ago,Electrical load 23 hour ago,Electrical load 24 hour ago,Electrical load
1,2,0,6,8.1,7.4,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,313.1,312.9,317.6,319.9,161.7,322
1,2,1,6,8.2,7.7,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,313.1,312.9,317.6,319.9,326
1,2,2,6,8.5,8.1,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,313.1,312.9,317.6,321.9
1,2,3,6,9.1,8.2,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,313.1,312.9,320.5
1,2,4,6,9.3,8.3,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,313.1,327
1,2,5,6,9.6,8.4,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,315.7,329.1
1,2,6,6,9.7,8.4,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,323.7,331.3
1,2,7,6,9.4,8.8,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,347.8,340.2
1,2,8,6,9.7,8.9,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,350.8,353
1,2,9,6,9.9,9.1,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,352.9,344.3
1,2,10,6,9.8,9.4,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,354.6,351.8
1,2,11,6,9.9,9.6,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,360.2,356.5
1,2,12,6,10.1,9.5,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,363.2,366.7
1,2,13,6,10,9.6,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,359.7,362.7
1,2,14,6,10,9.8,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,356.8,372.9
1,2,15,6,10.2,10.2,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,358.8,360.6
1,2,16,6,11.2,11.1,360.6,372.9,362.7,366.7,356.5,351.8,344.3,353,340.2,331.3,329.1,327,320.5,321.9,326,322,323.1,327.8,331.5,343.2,345.4,344.2,353.6,356.2,360.8
